name,url
MOMO MASTER,https://swiggy.com/restaurants/momo-master-laxmi-nagar-delhi-430911
Mad Over Donuts,https://swiggy.com/restaurants/mad-over-donuts-near-metro-station-laxmi-nagar-delhi-381401
Chidambaram's New Madras Hotel,https://swiggy.com/restaurants/chidambarams-new-madras-hotel-lodhi-colony-delhi-13386
Shri Ganesh Corner (Laxmi nagar),https://swiggy.com/restaurants/shri-ganesh-corner-laxmi-nagar-laxmi-nagar-shakarpur-khas-delhi-286267
Amour Bistro,https://swiggy.com/restaurants/amour-bistro-south-campus-chanakyapuri-delhi-344806
Jamun ,https://swiggy.com/restaurants/jamun-khan-market-lodhi-colony-delhi-295512
Fujiya,https://swiggy.com/restaurants/fujiya-malcha-marg-chanakyapuri-delhi-52518
Kamal's Traditional Sweets,https://swiggy.com/restaurants/kamals-traditional-sweets-sunder-nagar-lodi-colony-delhi-12744
Nufeast,https://swiggy.com/restaurants/nufeast-karol-bagh-rajinder-nagar-delhi-341588
Sly Granny,https://swiggy.com/restaurants/sly-granny-khan-market-rabindra-nagar-delhi-289128
Anjlika Pastry Shop,https://swiggy.com/restaurants/anjlika-pastry-shop-karol-bagh-delhi-60334
Burgrill - The Win Win Burger,https://swiggy.com/restaurants/burgrill-the-win-win-burger-shankar-road-rajinder-nagar-delhi-67382
Saleem Javed Rule The Rolls,https://swiggy.com/restaurants/saleem-javed-rule-the-rolls-khan-market-delhi-35877
Flavour Of Southvala Pvt Ltd,https://swiggy.com/restaurants/flavour-of-southvala-pvt-ltd-padam-singh-road-karol-bagh-delhi-177752
Grover Mithaivala (Rajinder Nagar),https://swiggy.com/restaurants/grover-mithaivala-rajinder-nagar-karol-bagh-delhi-391413
Great Indian Khichdi by EatFit,https://swiggy.com/restaurants/great-indian-khichdi-by-eatfit-chuna-mandi-paharganj-gole-market-delhi-258198
Annakoot by ISKCON Bangalore,https://swiggy.com/restaurants/annakoot-by-iskcon-bangalore-connaught-place-mandi-house-delhi-324401
Naivedyam,https://swiggy.com/restaurants/naivedyam-connaught-place-delhi-335116
Biryani Blues,https://swiggy.com/restaurants/biryani-blues-scindia-house-connaught-place-delhi-8620
Creme N Crisp,https://swiggy.com/restaurants/creme-n-crisp-gole-market-delhi-15607
Momos House,https://swiggy.com/restaurants/momos-house-gautam-nagar-delhi-58205
Vermaji Parathe Wale,https://swiggy.com/restaurants/vermaji-parathe-wale-gautam-nagar-yusuf-sarai-delhi-181735
Chinese Daily,https://swiggy.com/restaurants/chinese-daily-kirti-nagar-kirti-nagar-industrial-area-kirti-nagar-delhi-344023
OLD AL LAZEEZ,https://swiggy.com/restaurants/old-al-lazeez-lajpat-nagar-delhi-447923
Tikka Fatory,https://swiggy.com/restaurants/tikka-fatory-laxmi-nagar-delhi-502553
Super Snacks ,https://swiggy.com/restaurants/super-snacks-laxmi-nagar-ghondi-chowk-delhi-330179
XERO DEGREES,https://swiggy.com/restaurants/xero-degrees-south-campus-south-moti-bagh-delhi-312627
Rajshree Restaurant,https://swiggy.com/restaurants/rajshree-restaurant-laxmi-nagar-geeta-colony-delhi-311130
The Village cafe,https://swiggy.com/restaurants/the-village-cafe-chander-nagar-krishna-nagar-delhi-34941
TukTuk - Asian on Wheels,https://swiggy.com/restaurants/tuktuk-asian-on-wheels-south-extension-south-extension-ii-delhi-220238
Fitchef,https://swiggy.com/restaurants/fitchef-mangal-bazaar-updated-delhi-71430
Beliram Degchiwala (Lajpat Nagar),https://swiggy.com/restaurants/beliram-degchiwala-lajpat-nagar-2-lajpat-nagar-delhi-15329
Cafeteria & Co.,https://swiggy.com/restaurants/cafeteria-and-co-south-campus-south-moti-bagh-delhi-20631
Roll is Roll,https://swiggy.com/restaurants/roll-is-roll-nehru-nagar-lajpat-nagar-delhi-91992
Padam Chinese Corner,https://swiggy.com/restaurants/padam-chinese-corner-lajpat-nagar-delhi-111879
Gupta Ji Kachori Wale,https://swiggy.com/restaurants/gupta-ji-kachori-wale-lajpat-nagar-delhi-432945
Burger House,https://swiggy.com/restaurants/burger-house-laxmi-nagar-vinod-nagar-north-delhi-225696
Wicked Waffles,https://swiggy.com/restaurants/wicked-waffles-preet-vihar-delhi-49888
Gupta's Restaurant,https://swiggy.com/restaurants/guptas-restaurant-south-extension-2-south-extension-ii-delhi-52521
Pizza? Yes Please!,https://swiggy.com/restaurants/pizza-yes-please-lajpat-nagar-delhi-385287
Pasta Unplugged,https://swiggy.com/restaurants/pasta-unplugged-lajpat-nagar-delhi-403828
Chinese Hawker,https://swiggy.com/restaurants/chinese-hawker-mayur-vihar-patparganj-delhi-290202
Arabian Delites,https://swiggy.com/restaurants/arabian-delites-defence-colony-delhi-4705
BOX8 - Desi Meals,https://swiggy.com/restaurants/box8-desi-meals-laxmi-nagar-delhi-425373
Qureshi's Kabab Corner,https://swiggy.com/restaurants/qureshis-kabab-corner-defence-colony-lajpat-nagar-delhi-26779
NYC.PIE ,https://swiggy.com/restaurants/nyc-pie-new-lajpat-nagar-delhi-328586
Biryani Hazir ho,https://swiggy.com/restaurants/biryani-hazir-ho-south-extension-delhi-451885
Shivani Food House,https://swiggy.com/restaurants/shivani-food-house-kotla-mubarakpur-delhi-477069
NAGPAL HAVELI BLD,https://swiggy.com/restaurants/nagpal-haveli-bld-lajpat-nagar-delhi-448620
7th Heaven,https://swiggy.com/restaurants/7th-heaven-mayur-vihar-delhi-418253
Pizza? Yes Please!,https://swiggy.com/restaurants/pizza-yes-please-lajpat-nagar-delhi-385287
Pasta Unplugged,https://swiggy.com/restaurants/pasta-unplugged-lajpat-nagar-delhi-403828
Chinese Hawker,https://swiggy.com/restaurants/chinese-hawker-mayur-vihar-patparganj-delhi-290202
Arabian Delites,https://swiggy.com/restaurants/arabian-delites-defence-colony-delhi-4705
BOX8 - Desi Meals,https://swiggy.com/restaurants/box8-desi-meals-laxmi-nagar-delhi-425373
Qureshi's Kabab Corner,https://swiggy.com/restaurants/qureshis-kabab-corner-defence-colony-lajpat-nagar-delhi-26779
NYC.PIE ,https://swiggy.com/restaurants/nyc-pie-new-lajpat-nagar-delhi-328586
Biryani Hazir ho,https://swiggy.com/restaurants/biryani-hazir-ho-south-extension-delhi-451885
